"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, SETTEMBRE - OTTOBRE (2025),, NOVEMBRE (2025),, DICEMBRE (2025),, GENNAIO (2026),, FEBBRAIO (2026),, MARZO (2026),, APRILE (2026),, MAGGIO (2026),, GIUGNO (2026),, LUGLIO (2025),,, SETTEMBRE - OTTOBRE (2025) Q1C,NOVEMBRE (2025) Q1C,DICEMBRE (2025) Q1C,GENNAIO (2026) Q1C,FEBBRAIO (2026) Q1C,MARZO (2026) Q1C,APRILE (2026) Q1C,MAGGIO (2026) Q1C,GIUGNO (2026) Q1C,LUGLIO (2025) Q1C,,
Descrizione Quote,Dettagli, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni,numero corsi a settimana," 1 corso
1 OPEN BAMBINI e RAGAZZI,"SOLO 50 POSTI
(fino a 17 anni) 
periodo Settembre -> Maggio"," € 750,00 ",," € 640,00 ",," € 560,00 ",," € 480,00 ",," € 400,00 ",," € 320,00 ",," € 160,00 ",,,,,,,,, , , , , , , , , , , ,
1 CORSO (no Aereal) per INSEGNANTI,da settembre a luglio (è obbligatorio per tutti tessera + €25 e certificato medico)," € 150,00 ",," € 150,00 ",," € 150,00 ",," € 150,00 ",," € 100,00 ",," € 100,00 ",," € 100,00 ",," € 50,00 ",," € 50,00 ",," € 50,00 ",,1," € 150,00 "," € 150,00 "," € 150,00 "," € 150,00 "," € 100,00 "," € 100,00 "," € 100,00 "," € 50,00 "," € 50,00 "," € 50,00 ", ,
1 OPEN LEONARDO V. 1 MESE,," € 50,00 ",," € 50,00 ",," € 50,00 ",," € 50,00 ",,,,,,,,,,,,,,3," € 16,67 "," € 16,67 "," € 16,67 "," € 16,67 ", , , , , , , ,
2 OPEN LEONARDO V. 1 MESE,," € 100,00 ",," € 100,00 ",," € 100,00 ",," € 100,00 ",,,,,,,,,,,,,,, , , , , , , , , , , ,
1 OPEN 1 MESE,," € 150,00 ",," € 150,00 ",," € 150,00 ",," € 150,00 ",,,,,,,,,,,,,,, , , , , , , , , , , ,
2 OPEN 1 MESE,," € 350,00 ",," € 350,00 ",," € 350,00 ",," € 350,00 ",,,,,,,,,,,,,,, , , , , , , , , , , ,
,CORSI ADULTI (Da 18 anni in su),CORSI ADULTI (Da 18 anni in su),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CORSO Adulti,periodo Settembre -> Giugno," € 390,00 ",36," € 390,00 ",," € 310,00 ",," € 310,00 ",," € 280,00 ",," € 210,00 ",," € 150,00 ",," € 110,00 ",," € 50,00 ",," € 50,00 ",,1," € 390,00 "," € 390,00 "," € 310,00 "," € 310,00 "," € 280,00 "," € 210,00 "," € 150,00 "," € 110,00 "," € 50,00 "," € 50,00 "," € 10,83 ",
2 CORSI Adulti,"390 + 390 = 780 sconto 100 €
periodo Settembre -> Giugno"," € 680,00 ",72," € 680,00 ",," € 540,00 ",," € 500,00 ",," € 460,00 ",," € 320,00 ",," € 240,00 ",," € 170,00 ",," € 90,00 ",," € 90,00 ",,2," € 340,00 "," € 340,00 "," € 270,00 "," € 250,00 "," € 230,00 "," € 160,00 "," € 120,00 "," € 85,00 "," € 45,00 "," € 45,00 "," € 9,44 ",
3 CORSI Adulti,"390 x 3 = 1170 sconto 210 €
periodo Settembre -> Giugno"," € 960,00 ",," € 960,00 ",," € 750,00 ",," € 660,00 ",," € 540,00 ",," € 480,00 ",," € 360,00 ",," € 260,00 ",," € 180,00 ",," € 120,00 ",,3," € 320,00 "," € 320,00 "," € 250,00 "," € 220,00 "," € 180,00 "," € 160,00 "," € 120,00 "," € 86,67 "," € 60,00 "," € 40,00 ", ,
4 CORSI Adulti,"390 x 4 = 1560 sconto 500 €
periodo Settembre -> Giugno"," € 1.060,00 ",," € 1.060,00 ",," € 820,00 ",," € 700,00 ",," € 600,00 ",," € 520,00 ",," € 400,00 ",," € 320,00 ",," € 200,00 ",," € 150,00 ",,4," € 265,00 "," € 265,00 "," € 205,00 "," € 175,00 "," € 150,00 "," € 130,00 "," € 100,00 "," € 80,00 "," € 50,00 "," € 37,50 ", ,
5 CORSI Adulti,"390 x 5 = 1950 sconto 790 €
periodo Settembre -> Giugno"," € 1.160,00 ",," € 1.160,00 ",," € 900,00 ",," € 770,00 ",," € 640,00 ",," € 550,00 ",," € 450,00 ",," € 300,00 ",," € 250,00 ",," € 200,00 ",,5," € 232,00 "," € 232,00 "," € 180,00 "," € 154,00 "," € 128,00 "," € 110,00 "," € 90,00 "," € 60,00 "," € 50,00 "," € 40,00 ", ,
1 CORSO Adulti VENERDI O SABATO,"solo di venerdi o solo di sabato
periodo Settembre -> Giugno"," € 310,00 ",," € 310,00 ",," € 240,00 ",," € 210,00 ",," € 180,00 ",," € 150,00 ",," € 120,00 ",," € 90,00 ",," € 60,00 ",,,,1," € 310,00 "," € 310,00 "," € 240,00 "," € 210,00 "," € 180,00 "," € 150,00 "," € 120,00 "," € 90,00 "," € 60,00 ", , ,
2 CORSO Adulti VENERDI O SABATO,"solo di venerdi o solo di sabato
310 + 310 = 620 sconto 100 €
periodo Settembre -> Giugno"," € 520,00 ",," € 520,00 ",," € 400,00 ",," € 350,00 ",," € 300,00 ",," € 250,00 ",," € 200,00 ",," € 150,00 ",," € 100,00 ",,,,2," € 260,00 "," € 260,00 "," € 200,00 "," € 175,00 "," € 150,00 "," € 125,00 "," € 100,00 "," € 75,00 "," € 50,00 ", , ,
1 CORSO Adulti MATTINO,"FINO ALLE ORE 11 (ultimo corso quello delle 10)
periodo Settembre -> Giugno"," € 260,00 ",," € 260,00 ",," € 200,00 ",," € 175,00 ",," € 150,00 ",," € 125,00 ",," € 100,00 ",," € 75,00 ",," € 50,00 ",,,,1," € 260,00 "," € 260,00 "," € 200,00 "," € 175,00 "," € 150,00 "," € 125,00 "," € 100,00 "," € 75,00 "," € 50,00 ", , ,
1 CORSO Adulti Quadrimestre,Quadrimestre," € 280,00 ",," € 280,00 ",,,,,," € 280,00 ",,,,,,,,,,,,1," € 280,00 "," € 280,00 ", , ," € 280,00 ", , , , , , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
,"AEREAL (CERCHIO, TESSUTI E POLE DANCE)","AEREAL (CERCHIO, TESSUTI E POLE DANCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CORSO Adulti AERIAL Quadrimestre,Quadrimestre," € 390,00 ",," € 390,00 ",,,,,,,,,,,,,,,,,,1," € 390,00 "," € 390,00 ", , , , , , , , , ,
1 CORSO Adulti AERIAL,periodo Settembre -> Giugno," € 580,00 ",," € 580,00 ",," € 450,00 ",," € 385,00 ",," € 320,00 ",," € 255,00 ",," € 190,00 ",," € 125,00 ",," € 60,00 ",," € 60,00 ",,1," € 580,00 "," € 580,00 "," € 450,00 "," € 385,00 "," € 320,00 "," € 255,00 "," € 190,00 "," € 125,00 "," € 60,00 "," € 60,00 ", ,
2 CORSI Adulti AERIAL,"BISETTIMANALE
580 + 580 = 1160 sconto 200 €
periodo Settembre -> Giugno"," € 960,00 ",," € 960,00 ",," € 760,00 ",," € 660,00 ",," € 560,00 ",," € 460,00 ",," € 360,00 ",," € 260,00 ",," € 160,00 ",," € 95,00 ",,2," € 480,00 "," € 480,00 "," € 380,00 "," € 330,00 "," € 280,00 "," € 230,00 "," € 180,00 "," € 130,00 "," € 80,00 "," € 47,50 ", ,
